Venue, c1, c2, c3, c4, c5, c6, c7, c8
C LES 402,L3, L2,,,,,,
C LES 402,N1, N2, N3, N4,,,,
C LES 402,P13,P14,,,,,,
C LES 402,Q3, Q4,,,,,,
C LES 402,R1,,,,,,,
C LES 402,Z3,,,,,,,
C LES 403,H1,,,,,,,
C LES 403,H3, H4,,,,,,
C LES 403,I1,,,,,,,
C LES 403,J1,,,,,,,
C LES 403,J2,,,,,,,
C LES 403,J3, J4,,,,,,
C LES 403,K1,,,,,,,
C LES 403,L3, L2,,,,,,
C LES 403,L4, L1,,,,,,
C LES 403,O1,,,,,,,
C LES 403,O4,,,,,,,
C LES 403,Q2,,,,,,,
C LES 403,Q3,,,,,,,
C LES 403,R1,,,,,,,
C LES 403,R2,,,,,,,
C LES 403,Z1,,,,,,,
C LES 404,I1,,,,,,,
C LES 404,J1,,,,,,,
C LES 404,J2,,,,,,,
C LES 404,K1,,,,,,,
C LES 404,M3,,,,,,,
C LES 404,O1, O2,,,,,,
C LES 404,P12,P13,,,,,,
C RING 303 COMPUTER LAB,P15,,,,,,,
C RING 303 COMPUTER LAB,P17,,,,,,,
C RING 303 COMPUTER LAB,P23,,,,,,,
C RING 307 COMPUTER LAB,P19,,,,,,,
C RING 307 COMPUTER LAB,P26,,,,,,,
C RING 307 COMPUTER LAB, P19,,,,,,,
C RING 308,P21,P22,,,,,,
C1 LAB 215 LABORATORY,K1, K2, K3, K4,,,,
C1 LAB 215 LABORATORY,L1, L2, L3, L4,,,,
C1 LAB 215 LABORATORY,M1, M2, Q1, Q2,,,,
C1 LAB 215 LABORATORY,O1, O2, N1, N2,,,,
C1 LAB 215 LABORATORY,P21,P22,P23,P24,,,,
C1 LAB 215 LABORATORY,P6,P7,P8,,,,,
C1 LAB 215 LABORATORY,Z1, Z2, Z3, Z4,,,,
C1 LAB 221,P13,P14,,,,,,
C1 LAB 303,P13,P20,,,,,,
C1 LAB 304,P13,P14,P15,P16,P17,P18,P19,P20
C1 LAB 304,Q1, Q2, G3, G4,,,,
C1 LAB K001,P1,P2,P3,P4, R3,,,
C1 LAB K001,P17,P18,P19,P20, N3,,,
C1 LAB K001,P25,P26,P27,P28,,,,
C2 LAB 115 LABORATORY,O1, O2, Z1, Z2,,,,
C2 LAB 115 LABORATORY,P1,P2,P3,P4, R3,,,
C2 LAB 115 LABORATORY,P17,P18,P19,P20, N3,,,
C2 LAB 115 LABORATORY,P25,P26,P27,P28,,,,
C2 LAB 115 LABORATORY,P25,P26,P27,P28, O3,,,
C2 LAB 115 LABORATORY,P29,P30,P31,P32, S3,,,
C2 LAB 115 LABORATORY,P6,P7,P8,P9,,,,
C2 LAB 115 LABORATORY,P6,P7,P8,P9, L3,,,
C2 LAB 122 LABORATORY,P15,P16,P17,P18,P19,P20, N3, N4
C2 LAB 122 LABORATORY,P22,P23,P24,P25,P26,P27,P28, O3
C2 LAB 123 LABORATORY,P23,P24,P25,P26,P27,P28, O3, G3
D LAB BASEMENT ROOM K01,H1, H2, J1, J2,,,,
D LAB BASEMENT ROOM K01,J3, J4,,,,,,
D LAB BASEMENT ROOM K01,K3, K4,,,,,,
D LAB BASEMENT ROOM K01,L3, L1, L2,,,,,
D LAB BASEMENT ROOM K01,N3, N4,,,,,,
D LAB BASEMENT ROOM K01,O3, G3, O4,,,,,
D LAB BASEMENT ROOM K01,O3, G3,O4,,,,,
D LAB BASEMENT ROOM K01,P6,P7,,,,,,
D LAB BASEMENT ROOM K01,Q1, M3, Q3,,,,,
D LAB BASEMENT ROOM K02,L1, L2, R1, R2,,,,
D LAB BASEMENT ROOM K02,O1, O2, O4,,,,,
D LAB BASEMENT ROOM K02,P12,P13,P14,P15,,,,
D LAB BASEMENT ROOM K02,Q3, Q4,,,,,,
D LAB BASEMENT ROOM K02,Z1, Z2,,,,,,
D LAB BASEMENT ROOM K03,H1, H2, R1, R2,,,,
D LAB BASEMENT ROOM K03,L1, L2,,,,,,
D LAB BASEMENT ROOM K03,N1, N2, I3, I4,,,,
D LAB BASEMENT ROOM K03,P13,P14,,,,,,
D LAB BASEMENT ROOM K03,T3, T4,,,,,,
D LES 101,I4, O3,,,,,,
D LES 101,J1, J2, J3, J4,,,,
D LES 101,L3, L4, L1, L2,,,,
D LES 101,Z1, Z2, Z3, Z4,,,,
D LES 101,Z1, Z2, Z4,,,,,
D LES 102,J4, C3,,,,,,
D LES 102,L3, L1, L2,,,,,
D LES 102,O1, O2, T1, T2,,,,
D LES 102,P15,P16,,,,,,
D LES 102,Z1, Z2,,,,,,
D LES 103,H1, H2, J3, J4,,,,
D LES 103,L3, L2,,,,,,
D LES 103,L4, L1,,,,,,
D LES 103,N1, N2, N3, N4,,,,
D LES 103,O1, O2, O3, O4,,,,
D LES 103,P1,P2, P17,P18,,,,
D LES 103,P1,P2, P17,P18,,,,
D LES 103,P21,P22,,,,,,
D LES 103,P6,P7, P16,,,,,
D LES 103,Q3, Q4,,,,,,
D LES 103,T4,,,,,,,
D LES 104,J1, J2,,,,,,
D LES 104,N1, N2,,,,,,
D LES 104,S1,,,,,,,
D LES 104,T3,,,,,,,
D LES 105,H1, H2, H3, H4,,,,
D LES 105,J1, J2, J3, J4,,,,
D LES 105,L1, L2,,,,,,
D LES 105,O1, O2,,,,,,
D LES 105,WE 14, WE 15,,,,,,
D LES 106,H3, H4,,,,,,
D LES 106,I3,,,,,,,
D LES 106,Q2, Q4,,,,,,
D LES 106,T1, T2,,,,,,
D LES 106,Z2,,,,,,,
D LES 201,P1,P2,,,,,,
D LES 201,P15,P16,,,,,,
D LES 201,P25,P26,,,,,,
D LES 201,R3, R4,,,,,,
D LES 201,Z3, Z4,,,,,,
D LES 201,J1,J2,,,,,,
D LES 202,J2,,,,,,,
D LES 202,S1,,,,,,,
D LES 202,T1, T2, T3, T4,,,,
D LES 203,H3, H4,,,,,,
D LES 203,J1, J2,,,,,,
D LES 203,P1,P2,,,,,,
D LES 203,Q3, Q4,,,,,,
D LES 203,S1, S2,,,,,,
D LES 204,L2, R1,,,,,,
D LES 204,T1, T2, T3, T4,,,,
D LES 301,I1, I2, I3, I4,,,,
D LES 301,P17,P18,,,,,,
D LES 301,Q1, Q2, L1, L2,,,,
D LES 301,S1, S2,,,,,,
D LES 301,T1, T2, T3, T4,,,,
D LES 304,K1, K2,,,,,,
D LES 304,P25,P26,,,,,,
D LES 304,Q1, Q2,,,,,,
D LES 305,K1, K2,,,,,,
D LES 305,Q3,,,,,,,
D LES 305,Q4,,,,,,,
D LES 306,Q1, Q2,,,,,,
D LES 306,T1, T2,,,,,,
D LES 306,T3, T4,,,,,,
D LES 307,I1, I2,,,,,,
D LES 307,M3,,,,,,,
D LES 307,M4,,,,,,,
D LES 307,Q4,,,,,,,
D LES 307,S1,,,,,,,
D LES 307,S2,,,,,,,
D LES 308,C2,,,,,,,
D LES 308,H3, H4,,,,,,
D LES 308,I2,,,,,,,
D LES 308,I3,,,,,,,
D LES 308,K1,,,,,,,
D LES 308,K2,,,,,,,
D LES 308,K3,,,,,,,
D LES 308,T4,,,,,,,
D LES 309,I1,,,,,,,
D LES 309,J1,,,,,,,
D LES 309,K3,,,,,,,
D LES 309,L2, R1,,,,,,
D LES 309,M1, M2, M3, M4,,,,
D LES 309,T3,,,,,,,
D LES 310,G1,,,,,,,
D LES 310,J1, J2,,,,,,
D LES 310,K3,,,,,,,
D LES 310,M1,,,,,,,
D LES 310,O2,,,,,,,
D LES 310,T4,,,,,,,
D LES 311,G1,,,,,,,
D LES 311,H3,,,,,,,
D LES 311,K3,,,,,,,
D LES 311,M2,,,,,,,
D LES 311,Q1,,,,,,,
D LES 311,Q2,,,,,,,
D LES 311,S1,,,,,,,
D LES 311,T2,,,,,,,
D LES 311,T3,,,,,,,
D LES 311,T4,,,,,,,
D LES 312,G1,,,,,,,
D LES 312,H1, H2, H3, H4,,,,
D LES 312,I1,,,,,,,
D LES 312,K3,,,,,,,
D LES 312,N3, N4,,,,,,
D LES 312,O1,,,,,,,
D LES 312,O1, O2,,,,,,
D LES 312,Q3,,,,,,,
D LES 403,J1,,,,,,,
D LES 403,J2,,,,,,,
D LES 403,M1, M2,,,,,,
D LES 403,M3,,,,,,,
D LES 404,I4,,,,,,,
D LES 404,K3,,,,,,,
D LES 404,Q1,,,,,,,
D LES 404,Q2,,,,,,,
D LES 404,T1,,,,,,,
D LES 404,T2,,,,,,,
D LES 404,T3,,,,,,,
D LES 405,C1, C2,,,,,,
D LES 405,H1,,,,,,,
D LES 405,I1, H4,,,,,,
D LES 405,I2,,,,,,,
D LES 405,I4,,,,,,,
D LES 405,J1,,,,,,,
D LES 405,J2,,,,,,,
D LES 405,K2,,,,,,,
D LES 405,K3,,,,,,,
D LES 405,M2, M3, M4,,,,,
D LES 405,Q1, Q2, Q3, Q4,,,,
D LES 405,S1,,,,,,,
D LES 405,T2,,,,,,,
D LES 405,T3,,,,,,,
D LES 405,T4,,,,,,,
D LES 406,H1,,,,,,,
D LES 406,H2,,,,,,,
D LES 406,I1,,,,,,,
D LES 406,I2,,,,,,,
D LES 406,I4,,,,,,,
D LES 406,J1,,,,,,,
D LES 406,J2,,,,,,,
D LES 406,K1,,,,,,,
D LES 406,K3,,,,,,,
D LES 406,M1, M2,,,,,,
D LES 406,M4,,,,,,,
D LES 406,Q2,,,,,,,
D LES 406,S1,,,,,,,
D LES 406,S2,,,,,,,
D LES 406,T3,,,,,,,
D LES 407,I1, I2, T3, T4,,,,
D LES 407,M1, M2, M3, M4,,,,
D LES 408,H1,,,,,,,
D LES 408,H3,,,,,,,
D LES 408,I4,,,,,,,
D LES 408,K1,,,,,,,
D LES 408,K2,,,,,,,
D LES 408,K3,,,,,,,
D LES 408,R2,,,,,,,
D LES 408,T2,,,,,,,
D LES 408,T3,,,,,,,
D LES 408,Z1, Z2, M3, M4,,,,
D LES 410,H1,,,,,,,
D LES 410,I1, I2,,,,,,
D LES 410,K1,,,,,,,
D LES 410,K2,,,,,,,
D LES 410,K3,,,,,,,
D LES 410,M1,,,,,,,
D LES 410,M2,,,,,,,
D LES 410,O1,,,,,,,
D LES 410,Q1,,,,,,,
D LES 410,Q2,,,,,,,
D LES 410,T3,,,,,,,
D LES 410,T4,,,,,,,
D LES 411,I1,,,,,,,
D LES 411,M4,,,,,,,
D LES 411,T3,,,,,,,
D LES 411,T4,,,,,,,
D1 LAB 108,G1, G2, G3, G4,,,,
D1 LAB 108,N1, N2, N3, N4,,,,
D1 LAB 108,O1, O2,,,,,,
D1 LAB 108,P17,P18,,,,,,
D1 LAB 108,P25,P26,,,,,,
D1 LAB 108,P8,P9,,,,,,
D1 LAB 108,R1, R2,,,,,,
D1 LAB 108,S1, S2,,,,,,
D1 LAB 108,Z1, Z2,,,,,,
D1 LAB 108,Z3, Z4,,,,,,
D1 LAB 401,C1,,,,,,,
D1 LAB 401,H3,,,,,,,
D1 LAB 401,H4,,,,,,,
D1 LAB 401,J1,,,,,,,
D1 LAB 401,J3, J4,,,,,,
D1 LAB 401,K3, K4,,,,,,
D1 LAB 401,L2,,,,,,,
D1 LAB 401,MO 14, MO 15,,,,,,
D1 LAB 401,N1, N2,,,,,,
D1 LAB 401,O1,,,,,,,
D1 LAB 401,O4,,,,,,,
D1 LAB 401,Q1,,,,,,,
D1 LAB 401,Q3,,,,,,,
D1 LAB 401,Q4,,,,,,,
D1 LAB 401,T3,,,,,,,
D1 LAB 401,T4,,,,,,,
D1 LAB 401,Z3,,,,,,,
D1 LAB 401,Z4,,,,,,,
D1 LAB 402,H2,,,,,,,
D1 LAB 402,I1, I2,,,,,,
D1 LAB 402,I3, I4,,,,,,
D1 LAB 402,M1, T3,,,,,,
D1 LAB 402,N2,,,,,,,
D1 LAB 402,O1,,,,,,,
D1 LAB 402,O2,,,,,,,
D1 LAB 402,Q2,,,,,,,
D1 LAB 402,Q3,,,,,,,
D1 LAB 402,Q4,,,,,,,
