"T1, T2, T3, T4",D LES 202
P17-20,D2 LAB 115
P17-20,D2 LAB 116
"L1, L2",D LES 201
"",
"K1, K2, M3, M4",C LES 402
P17-20,D2 LAB 115
P17-20,D2 LAB 116
"S1, S2",D2 LAB 121
"",
"O1, O2, O3",D2 LAB 115
P25-28,D2 LAB 115
"",
"M1, M2, M3, M4",D2 LAB 122
"Z1, Z2, P1-4",D2 LAB 115
"",
"M1, M2, M3, M4",D2 LAB 122
"Z1, Z2, P1-4",D2 LAB 121
"",
"Q1, Q2, Q3, Q4",D2 LAB 122
"P29-32, S3, S4",D2 LAB 121
"",
"Q1, Q2, Q3, Q4",D2 LAB 122
"P29-32, S3, S4",D2 LAB 121
"",
"H1, H2, H3, H4",D LES 404
"O1, O2, C1, C2",C LES 307
P6-7,D LES 306
"",D LES 301
P27-28,D LES 307
"",
"Q3, Q4",D LES 101
"",
"O1, O2",D1 LAB 108
"T1, T2",D1 LAB 108
"Z1, Z2",D1 LAB 108
"T3, T4",D1 LAB 108
"",
"O1, O2",D1 LAB 108
"T1, T2",D1 LAB 108
"R1, R2",D1 LAB 108
"T3, T4",D1 LAB 108
"",
"K1, K2",A LES G02
"K1, K2",A LES G02
"C1, C2",A LES G01
"S1, S2",B LES 101
"K3, K4",A LES G02
"K3, K4",A LES G02
"K1, K2",A LES G02
H1,D1 LAB 402
H1,D1 LAB 403
H1,D1 LAB 404
H1,D1 LAB 405
H1,D1 LAB 406
H1,D1 LAB 407
H1,D1 LAB 411
H1,D1 LAB 412
H2,D1 LAB 410
H2,D1 LAB 402
H2,D1 LAB 403
H2,D1 LAB 404
H2,D1 LAB 405
H2,D1 LAB 406
H2,D1 LAB 407
H2,D1 LAB 411
Q2,D1 LAB 401
Q2,D1 LAB 402
Q2,D1 LAB 405
Q2,D1 LAB 406
Q2,D1 LAB 411
Q2,D1 LAB 412
Q2,D1 LAB 413
Q2,D1 LAB 414
I1,D LES 308
I1,D LES 309
I1,D LES 311
I1,D LES 312
I1,D LES 404
I1,D LES 406
I1,D LES 408
I1,D LES 411
M3,D1 LAB 402
M3,D1 LAB 403
M3,D1 LAB 404
M3,D1 LAB 405
M3,D1 LAB 406
M3,D1 LAB 407
M3,D1 LAB 410
M3,D1 LAB 411
M4,D1 LAB 402
M4,D1 LAB 403
M4,D1 LAB 404
M4,D1 LAB 405
M4,D1 LAB 408
M4,D1 LAB 409
M4,D1 LAB 410
M4,D1 LAB 411
T3,D1 LAB 416
T3,D1 LAB 401
T3,D1 LAB 407
T3,D LES 311
T3,D1 LAB 406
T3,D1 LAB 412
T3,D1 LAB 404
T3,D1 LAB 403
T4,D1 LAB 403
T4,D1 LAB 404
T4,D1 LAB 405
T4,D1 LAB 406
T4,D1 LAB 416
